Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,154.94,-60.96,180.0,bottom
C2,100n,C_0402_1005Metric,160.02,-75.692,0.0,bottom
C3,100n,C_0402_1005Metric,142.748,-74.676,0.0,bottom
C4,15p,C_0402_1005Metric,164.084,-78.74,-90.0,bottom
C5,15p,C_0402_1005Metric,161.544,-81.788,0.0,bottom
J1,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,156.782796,-56.114647,0.0,bottom
Q1,2N7002,SOT-23,131.572,-99.568,-90.0,bottom
Q2,2N7002,SOT-23,144.272,-100.584,-90.0,bottom
Q3,2N7002,SOT-23,162.052,-99.1385,-90.0,bottom
Q4,2N7002,SOT-23,174.244,-99.568,-90.0,bottom
R1,330,R_0402_1005Metric,154.94,-69.596,90.0,bottom
R2,330,R_0402_1005Metric,155.956,-69.596,90.0,bottom
R3,330,R_0402_1005Metric,156.972,-69.596,90.0,bottom
R4,330,R_0402_1005Metric,160.02,-72.644,0.0,bottom
R5,330,R_0402_1005Metric,160.02,-73.66,0.0,bottom
R6,330,R_0402_1005Metric,156.464,-82.804,-90.0,bottom
R7,330,R_0402_1005Metric,155.448,-82.804,-90.0,bottom
R8,330,R_0402_1005Metric,154.432,-82.802,-90.0,bottom
R9,10k,R_0402_1005Metric,142.748,-76.708,0.0,bottom
R10,1k,R_0402_1005Metric,142.748,-72.644,180.0,bottom
R11,330,R_0402_1005Metric,152.4,-69.596,-90.0,bottom
R12,330,R_0402_1005Metric,153.416,-69.596,-90.0,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,161.544,-78.74,-90.0,bottom
